epoch,accuracy,loss,val_accuracy,val_loss
0,0.27565646171569824,1.7967395782470703,0.3758707046508789,1.605686068534851
1,0.15625,1.7934329509735107,0.369462251663208,1.6114126443862915
2,0.34208598732948303,1.6556437015533447,0.40359431505203247,1.5445106029510498
3,0.34375,1.595073938369751,0.40094733238220215,1.5466899871826172
4,0.3678208887577057,1.6019805669784546,0.41139593720436096,1.524186134338379
5,0.4375,1.396721363067627,0.4112566113471985,1.519795536994934
6,0.3900338113307953,1.5613194704055786,0.4218445122241974,1.4797052145004272
7,0.4375,1.4213411808013916,0.4247701168060303,1.471439242362976
8,0.4086898863315582,1.5180628299713135,0.4561159014701843,1.4119583368301392
9,0.5,1.392037034034729,0.4513792097568512,1.4174728393554688
10,0.42319628596305847,1.4866139888763428,0.48913347721099854,1.3420369625091553
11,0.4375,1.5089210271835327,0.4895513951778412,1.3422801494598389
12,0.43808627128601074,1.4597934484481812,0.48551127314567566,1.3305913209915161
13,0.375,1.514286756515503,0.48537197709083557,1.331737756729126
14,0.45186036825180054,1.4367300271987915,0.5025076866149902,1.3133982419967651
15,0.4375,1.4583860635757446,0.5022290349006653,1.3134162425994873
16,0.45764899253845215,1.418494462966919,0.5107272267341614,1.2904859781265259
17,0.5,1.5283465385437012,0.5105879306793213,1.2911628484725952
18,0.463472455739975,1.3986866474151611,0.5199219584465027,1.263177514076233
19,0.21875,1.666956901550293,0.5193647146224976,1.2638146877288818
20,0.4681800603866577,1.384075403213501,0.514488697052002,1.266950011253357
21,0.28125,1.7373026609420776,0.5151852965354919,1.261793851852417
22,0.47466611862182617,1.3718458414077759,0.5360824465751648,1.2277189493179321
23,0.5,1.334115982055664,0.5352466106414795,1.2290904521942139
24,0.48289570212364197,1.3573449850082397,0.5387294292449951,1.224250316619873
25,0.625,1.134572982788086,0.5387294292449951,1.2240376472473145
26,0.4817798137664795,1.3579936027526855,0.5249373316764832,1.233104944229126
27,0.53125,1.1887242794036865,0.5238227844238281,1.233628273010254
28,0.4877427816390991,1.3445098400115967,0.5349679589271545,1.2158536911010742
29,0.5,1.173305630683899,0.5351072549819946,1.2169373035430908
30,0.48955610394477844,1.341235637664795,0.553496778011322,1.189203143119812
31,0.46875,1.356492519378662,0.5515463948249817,1.1899492740631104
32,0.488823801279068,1.3352950811386108,0.545834481716156,1.1981053352355957
33,0.5625,1.253920555114746,0.5456951856613159,1.1956439018249512
34,0.49527496099472046,1.3230929374694824,0.5369183421134949,1.208009958267212
35,0.34375,1.2692875862121582,0.537754237651825,1.2070040702819824
36,0.4985179901123047,1.3205715417861938,0.5495960116386414,1.182936191558838
37,0.4375,1.386710524559021,0.5486207604408264,1.184234380722046
38,0.4985877275466919,1.3141489028930664,0.562134325504303,1.1654120683670044
39,0.46875,1.4287338256835938,0.562134325504303,1.1655383110046387
40,0.5006799697875977,1.3158611059188843,0.5522429943084717,1.1777290105819702
41,0.53125,1.093123197555542,0.5511284470558167,1.1776951551437378
42,0.5003312826156616,1.3099327087402344,0.5640847086906433,1.1488615274429321
43,0.5,1.1496927738189697,0.5653385519981384,1.1481127738952637
44,0.5012030601501465,1.3005290031433105,0.5532181859016418,1.1787350177764893
45,0.53125,1.3951339721679688,0.5532181859016418,1.1754772663116455
46,0.5029466152191162,1.2982653379440308,0.5728614926338196,1.1365348100662231
47,0.5625,1.355865716934204,0.5709111094474792,1.1365903615951538
48,0.5091885328292847,1.2922966480255127,0.5586514472961426,1.162765383720398
49,0.4375,1.2996495962142944,0.5569796562194824,1.1648313999176025
50,0.5096767544746399,1.2917605638504028,0.5477849245071411,1.162000298500061
51,0.5,1.2524538040161133,0.5475062727928162,1.1619592905044556
52,0.5106880068778992,1.283262848854065,0.5608804821968079,1.1434085369110107
53,0.625,1.087965726852417,0.560741126537323,1.1439545154571533
54,0.5084213614463806,1.2881660461425781,0.5632488131523132,1.1372098922729492
55,0.53125,1.0943549871444702,0.5643633604049683,1.136183500289917
56,0.510966956615448,1.2800170183181763,0.5539147257804871,1.1704275608062744
57,0.6875,1.276843547821045,0.5561437606811523,1.162528395652771
58,0.5127105116844177,1.2803822755813599,0.5674282312393188,1.1374943256378174
59,0.53125,1.2372522354125977,0.5672889351844788,1.1363319158554077
60,0.5115946531295776,1.28236985206604,0.5638060569763184,1.1345136165618896
